LAT;LON;SAT;HDOP;BIO;DIV
47.995637886088296;7.876163554687537;5;92;86;94
47.99882440370318;7.901036529296903;6;68;35;36
48.01480283485153;7.890850962890682;5;228;88;33
48.01868409558039;7.9087037197266445;7;104;90;25
48.029984415876854;7.8968940263671366;5;113;3;73
48.043966755730764;7.886511026367316;5;130;63;33
48.05025188674347;7.917285629882826;8;92;61;51
48.036341887948396;7.931721555664126;8;171;44;33
48.023655376828614;7.930653227539097;5;191;8;57
48.02391000000001;7.940932910156222;6;154;46;79
48.035721952588815;7.9810037939453204;8;159;78;87
48.02603126996835;7.9719036083984065;7;130;68;80
48.01542976615263;7.969789063476582;7;72;4;24
48.00376341084648;7.966760999999906;8;134;64;35
47.994963573630955;7.963534708984412;7;44;0;68
47.99140287425727;7.956576190429699;8;88;98;87
47.99304857070757;7.933010634765651;8;45;73;96
48.00057982561172;7.911477407226584;5;199;50;25
48.007967977962245;7.91005689941403;6;249;24;57
48.02036650988473;7.933497238281233;6;94;29;88
47.98156210705066;7.923637253906237;8;166;45;39
47.96826249114338;7.927537582031277;8;158;46;80
47.96137657722527;7.9001629736328605;8;149;5;11
47.97725034334814;7.87205095214847;7;175;76;39
48.00045468880785;7.879115100585978;6;105;30;76
48.017156548934366;7.938180513671909;7;42;20;11
48.0134787519544;7.944028164062503;8;196;21;32
48.02610718653738;7.867114285156276;5;248;43;70
48.01417804761382;7.8651033544922475;8;231;35;85
47.99359907926207;7.9830840273436925;7;205;41;76
