LAT;LON;SAT;HDOP;BIO
48.01717147001992;7.916147394652737;5;92;86
47.973923021474384;7.905881730195869;6;68;35
47.98155507067577;7.912815410452706;5;228;88
48.023824871212845;7.88133520549878;7;104;90
47.99277624365521;7.918490882088897;5;113;3
48.037699315132905;7.951295692066937;5;130;63
48.04270168583281;7.9554214899524744;8;92;61
47.98300040943838;7.869893153931599;8;171;44
48.00034570992689;7.885517656497063;5;191;8
48.047193521980105;7.976585753267632;6;154;46
47.97506963705731;7.933678193159845;8;159;78
47.98507045876964;7.886598649713879;7;130;68
48.01786287512034;7.966774959016267;7;72;4
48.007543517858096;7.967211397984722;8;134;64
48.03171269137359;7.920915237481908;7;44;0
48.04801044964467;7.968631949343522;8;88;98
48.03319686646669;7.949755908445151;8;45;73
48.00856611664237;7.913878208120219;5;199;50
48.050065584708825;7.914070015873797;6;249;24
47.98452453804346;7.947937658895456;6;94;29
48.04562206089535;7.932231181762093;8;166;45
48.043202022084174;7.902374547091953;8;158;46
47.96393450078014;7.960599229004835;8;149;5
47.97675105785098;7.959209031562446;7;175;76
48.02404621843215;7.877524151131642;6;105;30
47.98410921171687;7.902259739697146;7;42;20
47.99429841556957;7.916290066407833;8;196;21
47.96469705885323;7.887811038564649;5;248;43
47.990275244839545;7.958452150797852;8;231;35
48.01741146614905;7.9177927443433065;7;205;41
